"","review","sentiment"
"11222","THE GREATEST GAME EVER PLAYED (TGGEP, 2005) is an amazingly uplifting, infectious underdog film that never (really) devolves into sappiness or heavyhandedness. Yes, it takes several liberties, as most Hollywood films do, but those liberties are forgiven as they actually add to the film's enjoyment, not detract from it. In fact, there are a lot of truthful moments in it. You can really tell that it's a ""Rocky"" type film from the film's outset, but who cares? Directed by none other than Bill Paxton (I know, right?!), it's expertly done and immensely watchable! <br /><br />TGGEP tells the story of Francis Ouimet (played with confidence, cockiness, and class by superstar-to-be Shia LaBeouf), an amateur golfer from a working class Irish-French immigrant family living in Brookline, MA, in the early 1900s. Ouimet qualifies to play in the 1913 U.S. Open. Included amongst his competition is the legendary Harry Vardon (played with immense class, dignity, and ferocity by Stephen Dillane). Ironically, Vardon is the 2nd underdog in this flick! The film starts in 1870s Scotland where land developers tell the youngster that they are building a golf course on his home and that golf is a game not for the likes of someone like him. Francis undergoes some of the same prejudice as a boy in early 1900s Brookline. The stories converge at the 1913 Open.<br /><br />What's ironic is that even as an adult and multiple major champion, Vardon is still an outcast in British society due to his upbringing. Francis learned much about golf from reading Vardon's books on the subject and Vardon is his idol all growing up. Unbeknownst to Vardon, they actually met back in 1900 in Boston after Vardon, who won that year's Open, was touring when Francis was only 7.<br /><br />In addition to Francis and Vardon, entrants in the 1913 Open include Vardon's friend and champion Brit Ted Ray (boisterous Stephen Marcus) and classless, chest-thumping two-time defending champion John McDermott (Michael Weaver). The film really does a good job of showing the different personalities of these men.<br /><br />Redheaded Marnie McPhail is ingratiatingly serene and stunning as Francis' supportive Irish mum and veteran Elias Koteas gives a stern, reserved, taciturn performance as his French dad. Addtionally, plucky young Josh Flitter (as Francis' pint-sized 10-year old caddy Eddie) almost single handedly steals the proceedings.<br /><br />Paxton throws in a lot of modern details, such as special effects zooming-in shots to show the scoreboard positioning of the players and CGI for a lot of the golf shots to keep the film exciting and at a brisk pace so as not to make the film too much of a period piece. But the film still convinces us of a specific time and place.<br /><br />What's interesting is that, while Rocky-like, this is all based on a true story! So the ending is satisfactory on so many levels. An entertaining film about golf set in the early 1900s...Wow!","positive"
"45255","I have watched THE ROOT OF ALL EVIL with the avowed object of refuting this so called scientific atheist . I don't know where to start as he is such a rich source of stupidity.<br /><br />He is obviously not a statistician else the odds of 2/1 of him burning for all eternity would have pushed him towards belief in God<br /><br />He regards science as religion and expects us to believe him as we do God. One has only to look at the language used in his postulations. <br /><br />Regarding Faith. This commodity is used extensively in everyday behaviour. Just think about it. When he gets in an electrician be believes that it will be wired correctly and trustfully turns on the switch. When he gets in a plumber he pulls the chain in his bathroom and expects the water to flow in the right direction. Regarding faith in science When I was in chemistry class I believed and was taught that the atom was the smallest particle and the onion skin theory of electrons both of which have now been discounted. I was taught this as the atomic theory 'writ in stone' so to speak. So why should we believe any scientist especially when he goes beyond the parameters of his field? Dawkins states that religion will be the downfall of civilisation. Religion is civilisation. Can he, or any other atheist, please tell us what civilisation was founded and nurtured by atheism, barbarism or savagery please? He is now living in the last stages of a Christian based civilisation and taking all the benefits from it without any admission for its source. I found Dawkins to be arrogant, dictatorial, judgmental, an obvious believer in eugenics and a Nazi in his attitude towards the young. How dare he say what a parent can teach their child. The child is theirs, not the nation's and as the parents bequeath to it their genetics, so do they bequeath their beliefs. His dismissal of Adam as ""he never existed"" as he has no proof was an example of this same attitude. So I have no proof that Joe Blogs lives in New York but he well may do. I just haven't found the proof yet. That does not negate his existence I note his argument with the Bishop of Oxford that the prelate is selective with what he takes and believes in the Bible. Well, Dawkins also does this. Where does he draw the line between it as a historical document and a religious statement? He is also selective. I heard the lot when Dawkins came up with the ALTRUISTIC gene. What a hoot. He is desperately looking for proof for his wackiness and as the Piltdown Man was invented, so now we have this so called ALTRUISTIC gene which predisposes us to looking after our young and other members of our 'group' The trouble is that all animals do this - not just apes, and with evolution it is survival of the fittest. not the kindest and if he really thinks we are becoming kinder as a race he is not reading the same newspapers as I am I found his arrogance beyond belief in declaiming that as we only have this life, we should enjoy it to the full. So how does he equate this with his obvious position as a well off European to a destitute person in Africa who has had all her family wiped out and probably raped and is starving. Will he help her? I note that all his opposition to religion is a) that they go to war. Well G K Chesterton declared that the only war worth fighting was a war for religion b) we are against using contraception and abortion and homosexuality. All sins against the 6th commandment. Funny that.<br /><br />As a Catholic I find his dismissal of Pius XII's pronouncement of the Dogma of the Assumption in 1958 to be erroneous. He , Pius, never said that it was revealed to him while he was sitting somewhere by himself. In case Dawkins does not know it, Revelation ended with the last Apostle. Pius would have taken years of advice and studied documents handed from down over the centuries to have come up with this pronouncement. Also as a Catholic I find his dismissal of all religious people as satisfied. what utter rubbish. We, everyday fight the world, the flesh and the devil. We are the Church Militant. We are also able to glory at a sunset and admire the beauties of nature even if we believe in God. The trouble with Dawkins was that he interviewed whacky zealots and extrapolated them to all of us.","negative"
"615","In dramatising Wilde's novel, John Osborne has condensed events, eliminated a number of characters, and generally implied rather than shown Dorian's essential wickedness. If you want a more explicit rendering, see the 1945 film. Wilde and Robert Louis Stevenson lived in about the same time frame, but were certainly vastly different men and writers. This story really treats of a theme similar to Stevenson's ""Dr. Jekyll and Mr. Hyde"", but note that Wilde chose to treat his story as fantasy, whereas RLS took the scientific route. Both the protagonists are men in whom good wars with evil, with evil winning in the end.<br /><br />The actors in this BBC movie, take a different route, too, from those in the 1945 film. John Gielgud says all the same caustic and cynical quips as George Sanders, in his role really projecting Wilde himself, but with a subtle difference. You'll suspect that Sanders really believed what he was saying, but Gielgud may be saying what is expected of him rather than what he sincerely believes. Peter Firth, too, shows the two sides of his character in restrained fashion, but then we don't get to see as many of his escapades as Hurd Hatfield had a chance to display.<br /><br />It's a very good production, with the dramatisation reflecting the essentials of the novel, if not all of its ramifications.","positive"
"5132","I don't know if this exceptionally dull movie was intended as an unofficial sequel to 'The French Connection"", but it does have many of the same drawbacks: the script is so confusing that the viewer remains uninvolved and feels left out of the picture, and the direction is so cold, so lacking in energy, that even the great chase sequence can't liven things up. (*1/2)","negative"
"9123","I really like this film because of all the stars and the dancing and the story that goes along with it. Rita Hayworth was at her most glamorous in this musical and the costumes were gorgeous. Although a musical, I thought Rita Hayworth did a fine performance of dramatic acting in this film as well. As far as her dancing, I think she was excellent. Even Betty Grable pretty much endorsed Rita's dancing in this film as she commented that Rita danced rings around her own dancing and let's face it, Betty Grable was an excellent dancer. The cinematography and vivid colors are also noted. Rita wants to be a cover girl for a magazine but she's also in love with her mentor played by Gene Kelly. Does she leave Kelly to fulfill her dream and bypass love and Broadway stardom or does she stick around to find that unique pearl that will change her life forever? You'll have to watch the film to find out!","positive"
"6882","Sadly this film lives up to about 1% of the hype that the game created in 2004 and leaves a very sour taste in the mouth. For video game enthusiasts, book worms and movie fans alike there is nothing more disappointing then a film that is based on an original concept (whether on paper or gaming console) that does not deliver. And not only that, goes well under the mark. Far Cry the video game released in 2004 created such a cult following that making a movie from the content should have been easy and scores of gamers would have flocked to watch the film. If you are a gamer that has played Far Cry; do not watch this film. Anyone else who hasn't played the game; it'll still seem like a B grade acted / B grade directed movie. Uwe Boll, hang your head in shame...this should've been easy to make into a blockbuster. The storyline of the game was incredible (think Jurassic Park meets Alien) and yet you still managed to take it and mould it into your own terrible recreation of an instant classic. Video game companies be warned - if Uwe Boll comes a knockin', lock the door. Oh & Til Schweiger...I look forward to seeing you make up for yourself in Inglourious Basterds. What were you thinking taking this one on? Sigh.","negative"
"48827","I caught ""Sorrows Lost"" at the New York Film and Video Festival and I guess I had some high hopes for this film. Sadly, this is just another Visual FX calling card. The story is pretty lame. The bad lighting and camera work, along with the less than great editing and music all make the film seem low quality.<br /><br />Is it really too much to ask that FX shorts have better stories and have the rest of the technical production be on par with the FX! You can't just get away with cool FX in shorts anymore, it's been 5 years since ""405"" made a big splash. At least that short quick, cool and was even a little funny! None of that can be said about ""Sorrows Lost.""","negative"
"38703","Grim instead of amusing, mean-spirited instead of playful, boring instead of interesting. It won't give you ""the willies"", but it just may gross you out or send you to sleep. And it will certainly make you wonder: ""what were they thinking?"" (*1/2)","negative"
"8634","My god...i have not seen such an awful movie in a long...long time...saw it last night and wanted to leave after 20 minutes...keira knightley tries really really hard in this one, but she cant handle it..dropped her accent every once in a while and didn't have the charisma to fill the role...sienna millers acting gets you to a point where you start to ask yourself: Has she ever had acting lessons? judging by the edge of love shes never been to acting class, but should consider to go in the near future...they both look really pretty..maybe thats what they should focus on in their future career..if they can be actresses everybody can!","negative"
"27514","This is one of those movies where you have to put to one side some of its obvious shortcomings (a result of the date and location of its production)and accentuate the positive. In many ways this is a truly superb film.<br /><br />Forgive the parody in the one line summary, but the most serious shortcoming for an English speaker like me was the ghastly subtitles. The print I saw had 1982 Soviet ""Film Export"" subtitles, which consistently used inverted grammar, presumably to give the impression of 13th century speech. The actual impact of this nonsense is to make it harder to follow the subtitles which means you spend less time looking at the images. Given that the cinematographic imagery is this films great strength, this is a real issue.<br /><br />Other IMDB-niks have written plenty about the Stalinist propaganda elements of this film (just in case the viewer doesn't notice them for him/herself). They have also written plenty about the battle on the ice scene, which is superb in my view. <br /><br />The love interest almost totally lacks subtlety and yet strangely..... almost totally lacks charm also. But it is good to cringe every now and then.<br /><br />I was familiar with the Prokofiev music to this film long before seeing the film. The images and the music complement each other marvelously. And it is the images that will stick in the mind for a long time. Bergman clearly learned a lot from these images - the imagery of his medieval pieces (e.g. The Seventh Seal, The Virgin Spring) building upon and enhancing Eisenstein's ideas. This film was made in 1938 in the USSR. In that context it is a masterpiece, albeit a flawed one. <br /><br />For the modern viewer, I suggest that you go with the flow and enjoy the many treats on show.","positive"
"4189","As a horror-movie fan I try to watch all significant novelties of this genre, especially those which are the products of my native cinema. And I can say that that the ""Power of Fear"" (or ""Vedma"" as the Russian title of it) is one of the weakest film among them. Firstly, it can't scary even a little kid, it paces so slowly and so predictable that there is no place for the real horror. Frankly speaking, it's bad in all points: from the goofy plot (I don't know why the Russian producers/director decided to transform the classic story about Ukrainian witchcraft into some lame and ridiculous modern-day-America thriller. I absolutely agree with the previous reviewer  it doesn't thrill a bit) and to the terrible and cheesy actors' work. All actors including the leading Valeri Nikolayev and Yevgeniya Kryukova who are quite famous in Russia look like wooden dolls or something like that and it seems to me they didn't even bother to play at all, only spoke their English lines without any expression. And at the end I don't really understand why they filmed this flick in English with Russian actors? I think it was their wrong turn. At least they could cast some American or English actors for the leading parts to make them look more convincing. The same I can say about so called ""small American town backgrounds"" which were shot in Estonia and look like it. The only positive moment I found in the ""Power of Fear"" is the visual effects. They are not excellent but rather good for the Russian film. And the music is OK, at least it doesn't irritate me. That's why I give it two stars. Overall, if you want to see good horror film  don't waste your time and money on this boring flick. And if you are looking for something that claims to be a Russian horror I'd advise you to find a copy of ""Viy or The Spirit of Evil"". It's really the terrific movie based on the same novel as ""Power of Fear"" but much, much better.","negative"
"24272","Scanning through the comments, there doesn't appear to be a lot of love for this movie, and it's not very hard to see why, it's rubbish.<br /><br />Now, I will start by saying that the finished product was hurt, in any number of ways, by the death of Donald Pleasance (Dr Loomis) in post production. This required a re-jigging of the film's conclusion with Loomis buying the farm and took away what was supposed to be a double twist at the end with Micheal swapping places with mysterious ""Man in black"" and I do not mean Johnny Cash.<br /><br />Now to the story. The fifth movie ended rather unsatisfactorily with Micheal Myers escaping from jail with the mysterious man in black. It turns out (aggh) that this man knows the origin of Micheal's evil and is also a colleague of Dr Loomis named Dr Wynn. They also kidnapped Jamie Lloyd (played by Danielle Harris in parts 4 and 5 but here played by JC Brandy). Jamie, pregnant, escapes from Dr Wynn's lair and so Micheal follows her and kills her. But she'd had the kid so now he needs to track the baby down so he can kill his great nephew.<br /><br />We hear some ludicrous explanation to Micheal's evil involving Gaelic curses down bloodlines and mysterious symbols. A radio show is broadcast from Micheal's home town for some reason, which gives Micheal some more hapless victims.<br /><br />In the end the movie, just like this review is vague, confusing and directionless with a very anticlimactic ending.<br /><br />Some sex scenes and nudity. Poor plot, passable effects, with some good run of the mill slasher kills, but severely lacking in motivation. For what was supposed to explain everything, this only stirred up some new questions, made parts 4 and 5 pointless and was a poor way for a great actor in Pleasance to end his life and career.","negative"
"16341","Loved today's show!!! It was a variety and not solely cooking (which would have been great too). Very stimulating and captivating, always keeping the viewer peeking around the corner to see what was coming up next. She is as down to earth and as personable as you get, like one of us which made the show all the more enjoyable. Special guests, who are friends as well made for a nice surprise too. Loved the 'first' theme and that the audience was invited to play along too. I must admit I was shocked to see her come in under her time limits on a few things, but she did it and by golly I'll be writing those recipes down. Saving time in the kitchen means more time with family. Those who haven't tuned in yet, find out what channel and the time, I assure you that you won't be disappointed.","positive"
"19854","By far one of the best sci-fi films out there. However, it does take multible viewings to understand the concept of the film and to be able to appreciate not only the special effect, but the main plot of the film itself. It is my own feelings that this film film got such poor reviews because no one took the time to watch the film the way it was meant to be seen. It does have some moments you wish would hurry up and pass by, but they are few and far between. Hooper, who directed TCM 1 and 2 along with a remake of INVADERS FROM MARS, and THE FUNHOUSE does his best work here. Great score, good acting,and great effects makes this a film to add to your collection, if you get the chance see the widescreen version on DVD, highly recommended to any one who is a fan of sci-fi.","positive"
"19156","A good cast is appallingly wasted in this slower than molasses and haphazardly connived comedy. Peter Ustinov tries hard here to bring something to life but the result is a dour bore that misses all the right beats that might have made it watchable. Regardless of the favorable comments here, this film is awful. Badly directed. Badly edited. Badly acted. Badly written. You need to sit through a hundred movies to come across one this bad.<br /><br />The muddled and excruciatingly laggard plot concerns Ustinov conning his way into an American insurance company in order to hack their computer and embezzle millions of pounds. How he does it is beyond lameness and credibility (he just learns his computer skills seemingly overnight by reading some pamphlets, and hoodwinks computer expert Robert Morley into going to South America and stealing his identity).<br /><br />As a side plot, Ustinov romances fellow loner Maggie Smith, who just happens to become his secretary by chance after he gets a flat in her building. She ends up sharing scenes that have sexual undertones with Bob Newhart that go nowhere, while Ustinov goes about grafting the money bit by bit and trying to keep one step ahead of Newhart and Karl Malden. Then he Marries Smith and they fly off to Brazil, which has become the staple finale of almost every British caper comedy since (Nuns on the Run? A Fish Called Wanda?)<br /><br />The surprise twist of an ending is more laughable than everything that came before. By the end I was thinking I must be truly off my rocker to stick out drivel like this. Even a cameo by Cesar Romero didn't help it. One of the most unfunny, poorly paced 'comedies' I've ever seen, and certainly the worst caper. Don't waste your time. If you love this you need to see better films.","negative"
"3125","""Direct-to-video"" is a phrase that never sounds promising to the consumer unless its a direct-to-video sequel to something that went direct-to-video in the first place. Despite this, studios have insisted on releasing numerous direct-to-video sequels over the years to cult hits. I don't think it even needs to be mentioned that these sequels rank among some of the worst titles of all time, including THE HITCHER II, STARSHIP TROOPERS 2, and CRUEL INTENTIONS 3. It's fitting that ROAD HOUSE 2 was helmed by Scott Ziehl as he was also the man in charge of ruining the Cruel Intentions series. Like his entry in the Cruel Intentions trilogy, Ziehl takes elements that made the first ROAD HOUSE a great guy flick, and rehashes them with no success whatsoever. This is no sequel, this is a remake all the way. Various lines from the original are repeated, plot points cut and pasted, and scenes are replicated almost shot-for-shot from the first one. The one thing that could not be duplicated were the amazing fight scenes, which made ROAD HOUSE what it was. Here, we get clumsily directed fight sequences that are either too short or too long and seemingly planned out and shot within an hour. Compare that with its predecessor's fight scenes that look like they took months and months to prepare. Ziehl is capable of directing action as he did well with the 2001 remake of EARTH VS. THE SPIDER, but none of the talent shown there comes through in this mess. It's not completely his fault, as the screenplay is very, very poorly written and clunky. I don't care if something goes direct-to-video, a good script is still required. Someone should keep that mind while continuously churning these low-budget, direct-to-DVD movies out. Skip it entirely. 1/10","negative"
"6553","When it comes to creating a universe George Lucas is the undisputed master and his final Star Wars film is very, very good (and more appropriately rated in comparison to the two previous films in the original saga). Having recently seen Revenge of the Sith really puts this movie in perspective. The final battle seems even more climactic knowing what Anakin Skywalker went through at the manipulative hands of the Emperor. It also makes the final battle between Luke and Vader more bitter considering the love he felt for Padmé and the love she felt for her children. Actually while the new films (especially Episode II) are inferior to the original films they are good for one reason only. They make the old films seem even better.<br /><br />Mark Hamill does an exceptional job in this movie. He really brings the changes Luke has gone through seem real. In all fairness I believe that he should have become a big actor based on these films because he really does a great job. Harrison Ford is still good. However, you can feel that he has done Raiders and Blade Runner in between the two final chapters of Star Wars because he seems to have grown quite a bit. He adds more comedy (obviously inspired from Raiders) to the character which works brilliantly. In short Han Solo is better than ever. Carrie Fisher was never really a good actress but she does a decent job and is certainly passable. Ian McDiarmid appears in this film and having seen Episode III I can safely say that he is one of the most accomplished villains ever. James Earl Jones still provides the voice for Vader and he is still very, very good.<br /><br />In terms of how the movie looks its pretty safe to say that the Star Wars universe looks better than in either of the previous (two) movies but this was always Lucas' forté so that is really to be expected. The final battle over Endor is very well made both in terms of the general effects and tension wise. It was also a nice touch that Lucas decided to have three battles take place at the same time as it added to the overall tension of the climax. <br /><br />The only thing I feel is dragging the movie down from an otherwise deserved 9 are the Ewoks. These little creatures are so annoying they almost ruin every scene they are in. Besides I find it to be a little to kiddy when a group of teddy bears with bows and arrows can defeat a squadron of Storm Troopers with laser guns and mighty machinery.<br /><br />All in all Return of the Jedi is a very good movie but the fact that Richard Marquand is a less accomplished director than Irvin Kershner does that the overall feel of the movie is less than brilliant. Also George Lucas' stupid decision to add the Ewoks to the universe does that the film falls short of brilliance.<br /><br />8/10","positive"
"14544","By no means a masterpiece, and far from Errol Flynn's best, Istanbul still has much going for it. The locations and beautiful technicolour cinematography, bring us back to a time long since past. Errol Flynn does show moments of his past glory, and is OK as Jim Brennan, a pilot who's past comes back to haunt him. The picture is actually a remake of 1947's ""Singapore"", and the story seems awfully contrived and cliche' by today's standards. Also many of the supporting cast seem to be simply ""going through the motions"" in this picture. Many people have also compared it to one of the all time greats, CASABLANCA. While watching the film, I could see many of the similarities, but hey, Casablanca has inspired countless imitators, so take that for what it's worth. In closing, if you are a fan of Flynn, or old fashioned love stories, you might want to give this film a look. Otherwise, I'd recommend Casablanca, or The Maltese Falcon, as a good introduction to some of Hollywood's classics....","positive"
"40045","This film was not only one of John Ford's own personal favorites but also numbered directors Sergei M. Eisenstein and Bertrand Tavernier among its high-profile admirers. Ironically, I've just caught up with it myself via Criterion's recent 2-Disc Set after missing out on a couple of original language screenings of it on Italian TV many years ago and again a few times on TV while in Hollywood! <br /><br />The film marked Ford's first of nine collaborations with Henry Fonda and is also a quintessential example of Ford's folksy Americana vein. A beautifully made and pictorially quite poetic piece of work, the courtroom sequences (and eventual revelation) in its second half still pack quite a wallop, apart from giving stalwart character actor Donald Meek a memorably meaty role as the prosecuting attorney.<br /><br />Fonda is, of course, perfectly cast as a bashful, inexperienced but rigorous and humanistic lawyer who was destined to become President; Fonda would go on to portray other fictitious politicians on film - most notably in Franklin J. Schaffner's THE BEST MAN (1964) and Sidney Lumet's FAIL-SAFE (1964) - and it's surprising now to learn that he was reluctant at the time about accepting the role of Lincoln since, in his view, that was ""like playing God""! <br /><br />It is interesting to note here that Ford had previously tackled Abraham Lincoln (tangentially) in THE PRISONER OF SHARK ISLAND (1936), a superb but perhaps little-known gem which has, luckily, just been released as a Special Edition DVD by the UK's veritable Criterion stand-in, Eureka's ""Masters Of Cinema"" label. Besides, I also have two more Abraham Lincoln films in my DVD collection which I've yet to watch and, incidentally, both were directed by D. W. Griffith - THE BIRTH OF A NATION (1915) and ABRAHAM LINCOLN (1930) - and, had I not just received a bunch of films I've never watched before just now, I would have gladly given them a spin based on my highly-satisfying viewing experience with YOUNG MR. LINCOLN.","positive"
"35893","From the moment Christopher Lee puts on a pair of punk sunglasses and tries to sneak into a punk rock club, you know you've got a stinker on your hands! This film had potential. Beneath all of the sludge there are the remnants of what could have been crafted into a decent film, if not an interesting one. The final product is a real mess, however. Aside from the gratuitous nudity and some very attractive women, Howling II winds up being a laughable excuse for a horror film. Christopher Lee gives it a nugget of credibility, but even he cannot raise it above the level of crap.<br /><br />Having never seen any of the other films in this series, this critic will be forced to accept on face value that this is a genuine continuation of the events in part one. We start off at a funeral for one of the characters from the original, and within the first ten minutes we find ourselves in Transylvania with a small group of heroes ready to battle a coven of werewolves. The film is paced fairly well, and there are not too many dead spots. The action is there; it just isn't filmed well. One bright spot is the music of a punk band called Babel. Though their song is played quite often, it is rather catchy.<br /><br />The problems with this film are great in number. First off, the acting is worse than pitiful. Christopher Lee is good enough, but that's where it ends. The two leads Reb Brown and Annie McEnroe are lacking in just about everything you'd want for such characters. The writing is wretched, the editing redundant, and the direction amateurish. There are a couple nice special effect gimmicks, but the cheesy ones far out weigh them in number. Sybil Danning is nice to look at, but her acting performance is less than satisfactory. Judd Omen looks the part he plays, but his voice and acting are unconvincing to say the least. Much of the dialog is in an unintelligible language that may or may not be Latin.<br /><br />I liked the general idea for the story. I always enjoy stories of true believers out to battle seemingly invincible forces of evil. One scene where a small group of good guys are trekking through a dark forest and shooting down a bunch of werewolves is even kind of exciting. Kind of. Maybe a bigger budget or a better director could have made the rest of the film a bit more compelling. 3 of 10 stars.<br /><br />The Hound.<br /><br />Side note: As of this writing, the censors at youtube.com have still not taken down the ending credits with Sybil Danning ripping off her top several times while the Babel song is playing! Catch it while you can!","negative"
"39855","Fantastic Russian WWII movie. Like most Russian WWII movies, The Ascent is incredibly harrowing. It's also dense in its symbolism. The story follows two partisans, Sotnikov and Rybak (Boris Plotnikov and Vladimir Gostyukhin), who go on a mission to search for food. On their trip, they are spotted by German soldiers, who wound Sotnikov. Sotnikov, in turn, kills one of the Germans, which leads to trouble for the two partisans and everyone else they later run into. The greatest success of the film is its vivid sense of place. Russia is frozen and snowy, and it's hard not to feel that cold go straight to your own bones. Shepitko keeps her shot close to the characters, examining every crag of their faces. It was probably not the choice, but the film is framed 1.33:1, which gives the film a sense of claustrophobia. While the entire film is quite an achievement, I did feel that the first half was stronger than the second. My main complaint about the movie is that it develops into a very unsubtle Christian allegory by its climax. I just don't think the symbolism adds much to the proceedings, especially when I was already intrigued by the debate between the two partisans. It's not quite fair. I was weighing the pros and cons of their argument. I began to lean toward the point of view of a certain character, and then the director pops up and tells me that he's Judas! Despite some heavy-handedness, this is still a must-see.","positive"
"30334","""The Running Jumping & Standing Still Film"" is not a film as such, but it is a short series of clips with a comical slapstick theme. This 'film' got Richard Lester recognised and paved the way for him to direct the first Beatles film: 'A Hard Day's Night"".<br /><br />Richard Lester directed and wrote the music for his first film in 1959. This film was entitled The Running, Jumping, & Standing Still Film. It was intended to be viewed only by those who had aided in its production. Since the film was intended to be viewed by Lester and his partners alone, a small amount of money and time was invested. The sole purpose of this film is entertainment, but the main reason for its existence is the fact that it served as an experiment to work the camera. The film cost 70£ to make, and it was filmed in sepia-toned film stock in a field on a couple of Sundays. All of the shots that were filmed were included in the finished production; the finished production is eleven minutes in length.<br /><br />The Running, Jumping, & Standing Still Film is a comedy about English Sundays and the small hobbies that people do to pass the time. All of the events in this film take place in a field. A few of these comical events include a woman scrubbing a lawn, a man running around a tree stump with a needle to play a record, a photographer developing film in a pond, an artist aided in painting by the numbers on a model's face, a man building a tent, an athlete running over the tent, and a duel between a man with a knife and a man with a gun. Not only does the film poke fun at the hobbies that people do to pass the time away, but it also pokes fun at English culture when compared to American culture. Another one of several events in this film includes a group of men and a kite, which has been constructed out of the flag of the United Kingdom. One of the men jumps inside the kite while the other men attempt to fly it, and the kite breaks. According to Neil Sinyard, author of The Films of Richard Lester, this event symbolizes the United Kingdom as lesser in power and technology when compared to the United States during the space age. According to this scene, the British fly primitive kites while the Americans, the world-power after World War II, fly highly-advanced rockets and space shuttles.","negative"
"16306","I'm big into acting, writing, and directing, but not famous yet. My friends and I frequently rent bad movies, just for fun and a good laugh, but when we went to the local Family Video and found a movie called Biker Zombies From Detroit, we knew it was gonna be the worst movie of all time and it was! Biker Zombies From Detroit has no script! They can say they do have one, but they're liars! There was a 4 minute scene of just two guys riffing about women and sexuality, and you could tell it was improvised. And if they're going to improv, it should be at least decent, but it wasn't, and you could tell by the two actors screwing up lines and saying stuff that didn't even make sense.<br /><br />To give you an idea of how terrible and retarded this movie is, here's the beginning: a girl flicks a guy off, he punches her in the face and beats her up, then rapes her. Then we see zombies who attack and they both turn into zombies.<br /><br />This is the beginning of the movie! Not to mention the lead zombie voice over that carries through the whole movie, trying to be sinister and thought provoking, but sounding like Marylin Manson having a conniption fit.<br /><br />Worst movie ever. Bottom line, folks. But watch it if you like movies with no script, no plot, bad acting, bad editing, bad music, and over 100 F words used in the movie.<br /><br />If this can hit video stores, my future films are gonna win Oscars.","negative"
"24577","Jess Franco makes exploitation films, and he has made tons of them. Franco is responsible for some of the most shocking films in cinema history, and god bless him for it. Unfortunately, The Diamonds of Kilominjaro is a truly awful movie that is not up to his usual standards.<br /><br />Exploitation films should be judged on story, sex, and gore. What else is there? This film fails on most of those benchmarks. The plot is paper thin, placing a nubile young girl in the jungle among cannibals. We really don't get information on why she and her father were there in the first place. As expected, her father is the ""Big White Chief"" and she becomes a goddess, sitting in trees, naked. Add fortune hunters and precious stones, and you have your basic rescue the girl for greedy intentions plot line. The characters are stock, not adding an ounce of believability to the proceedings.<br /><br />Gore? None, or at least very little. This film is often mentioned in the same vein as the classic Italian cannibal movies. Those seeking that type of gore need to run the other way. Save for one cheap be-heading, this movie features surprisingly little blood and guts.<br /><br />As best I can tell the only reason this movie exists is so Katja Bienert, Aliene Mess, and Mari Carmen Neieto could run around naked. Actually ""Lita"" (Mari Carmen Neieto) does the full frontal heavy lifting, while the two jungle ladies are bare chested throughout. Yes, there are love scenes....probably the most sterile Franco has ever supervised. The women are beautiful, but nothing here to really make this movie an erotic classic either.<br /><br />This movie just reeks of low budget buffoonery. The sets are laughable. The acting is horrid, and the editing is confusing. There is no real story to hold this together, and not enough of a budget (or effort) to shock or titillate. I think Franco fans have come to expect more out of the master of exploitation.","negative"
"11607","You want to know what the writers of this movie consider funny? A robot child sees his robot parents killed (beheaded, as I recall), and then moves between their bodies calling their names. Yeah--what a comic moment. This is the worst movie I ever paid to see.","negative"
"14332","How to summarize this film ? it is simply impossible. Why you should see it ? maybe for the story, very probably for the actors (Giorgio, Catherine...), above all for the universe and the poetry. This is a tale. Sad, sometimes dark, but a tale. I LOVE this film !!!! Just waiting for the DVD !! Thank you mister Boutonnat.","positive"
"27404","***SPOILERS*** ***SPOILERS*** Wow, what a predicament Joanna has found herself in. After accidentally running over a young child, she goes to call for help, only to return to the crime scene amidst a group of very angry onlookers. Understanda- bly, this is too much for her to handle, and she flees the scene. Luckily the child didn't die, but is seriously injured and in a coma. So starts the biggest struggle in Joanna's life: should she keep quiet or speak up? At first she doesn't, but eventually she realises that it's torture living with such a horrible secret.<br /><br />At one point she even joins a search party to help find the culprit. And gradually a detective starts to question this woman's behavior. She wants to tell the truth, and she never meant to run away from the crime scene, but is it worth telling and having the whole town hate you for it?<br /><br />The thing about this movie is that you don't choose sides. Joanna is very much a good role model, even though she's made some wrong choices. You feel for her, even though you know what she did was wrong. Her journey is a good representation of what any human being would go through if something like this were to happen to them.<br /><br />Margaret Colin is an absolutely brilliant actress. She was amazing in the TV series Now and Again and great in films like Independence Day and The Devil's Own. Her performance here is so realistic and unforced that she carries us singlehandedly through the entire film. In the end, I wanted to see more of her. Lisa Vidal also provided some good supporting work as the gentle, resourceful detective.<br /><br />To wrap it up, if you wanna see a movie that will make you think long afterwards, one that will say ""This is reality"", then you won't want to miss this one.<br /><br />My rating: 9/10","positive"
